fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220408 095447	-0.740204542457416	95	47	6	5	9821000	47
20220408 095507	-0.999606189205512	884	438	5	5	10021000	48
20220408 095535	-0.564349616454342	904	452	9	5	9618000	49
20220408 095605	-0.388027139002684	536	257	9	5	9168000	50
20220408 095631	-0.486109634362112	6081	781	12	5	9513000	51
20220408 095648	-0.603327410812903	328	151	4	5	9370000	52
20220408 095709	-0.523030900408901	3011	480	6	5	9498000	53
20220408 095737	-0.957980304481399	2094	915	10	5	10286000	54
20220408 095807	-0.998802394568257	1962	602	16	5	10018000	55
20220408 095834	-0.210843149717415	2073	1036	9	5	10240000	56
20220408 095855	-0.969088102410232	6514	1900	7	5	8803000	57
20220408 095913	0.0573726156468297	2	1	6	5	0	58
20220408 095940	-0.732443718537779	786	307	8	5	10420000	59
20220408 100015	-0.474788360298059	1210	362	19	5	9963000	60
20220408 100045	-0.593350805267161	1840	920	18	5	10488000	61
20220408 100112	-0.471633916851888	2079	1037	9	5	10240000	62
20220408 100136	-0.720617363125445	3288	326	7	5	9237000	63
20220408 100201	-0.784439978409814	1055	517	7	5	10580000	64
20220408 100230	-0.818399936383206	1922	960	13	5	10374000	65
20220408 100300	-0.746213295214693	1731	860	20	5	10741000	66
20220408 100330	-0.751654893788732	1724	859	13	5	10741000	67
20220408 100400	-0.91581513830713	1778	888	20	5	10611000	68
20220408 100430	-0.842177731641839	1568	776	20	5	10279000	69
20220408 100500	-0.47750566001921	1561	780	13	5	10273000	70
20220408 100528	-0.548379218589425	2290	1129	20	5	9992000	71
20220408 100553	-0.480464015836427	2095	285	7	5	9626000	72
20220408 100622	-0.133978723173004	1878	894	12	5	10520000	73
20220408 100652	-0.149083518883675	2107	1050	15	5	10243000	74
20220408 100720	-0.0178996902620185	1989	983	10	5	10304000	75
20220408 100744	-0.0842578529215762	7179	925	11	5	8344000	76
20220408 100812	-0.0182696836690706	2685	1341	12	5	9475000	77
20220408 100842	-0.767978995562467	1751	873	16	5	10542000	78
20220408 100859	-0.778265183456689	1865	929	4	5	9988000	79
20220408 100928	-0.0219299646350924	1885	938	20	5	10323000	80
20220408 100942	0.0983047281310014	2140	1070	18	5	0	81
20220408 101009	-0.0554297774407563	1514	756	9	5	10026000	82
20220408 101026	-0.583384695843316	1911	866	4	5	10127000	83
20220408 101054	-0.450554389682748	1186	522	9	5	10253000	84
20220408 101124	-0.175001207851706	511	248	9	5	9504000	85
20220408 101157	-0.799751483074271	1089	540	20	5	10058000	86
20220408 101243	-0.904963577015327	2275	8	20	5	8716000	87
20220408 101313	-0.108953159912437	1576	708	20	5	10109000	88
20220408 101327	-0.33449535999976	39	14	3	5	8351000	89
20220408 101359	-0.300931553235864	688	339	11	5	9734000	90
20220408 101417	-0.180401492116011	1549	771	4	5	9789000	91
20220408 101446	-0.0493268689853787	2022	1000	15	5	10369000	92
20220408 101537	-0.229750449869659	4	1	18	5	8354000	93
20220408 101608	-0.739606351874731	1300	649	13	5	10025000	94
20220408 101635	-0.882378647096756	5424	1016	20	5	9544000	95
20220408 101713	-0.580017413726879	561	255	20	5	9090000	96
20220408 101739	-0.580417129729841	7919	922	20	5	8441000	97
20220408 101808	-0.720036828371634	1793	894	13	5	10683000	98
20220408 101835	-0.748819304142242	3186	1588	20	5	8922000	99
20220408 101852	-0.266782197660114	2587	1287	4	5	9324000	100
20220408 101912	-0.821866379354182	1029	511	5	5	10106000	101
20220408 101941	-0.999886675199281	8000	152	12	5	8353000	102
20220408 102013	-0.951405687672822	1584	786	20	5	10216000	103
20220408 102035	-0.78573562958326	774	386	6	5	10560000	104
20220408 102105	-0.633845457238688	2022	1003	11	5	10178000	105
20220408 102120	-0.0391560649479089	3995	1996	3	5	8287000	106
20220408 102149	-0.133832077174237	1024	506	9	5	10240000	107
20220408 102203	-0.590971774567417	4007	1997	3	5	8287000	108
20220408 102220	-0.112897082189003	1953	974	4	5	10120000	109
20220408 102235	-0.251139807587954	4137	868	3	5	9055000	110
20220408 102305	-0.53237273265343	1745	871	20	5	10542000	111
20220408 102336	-0.916772029916053	1702	847	13	5	10743000	112
20220408 102404	-0.742922529849998	1917	955	10	5	10374000	113
20220408 102431	-0.341591391567192	3072	1532	20	5	9205000	114
20220408 102456	-0.350516308782973	7582	474	9	5	8441000	115
20220408 102510	-0.32791360108942	4944	2000	3	5	8287000	116
