Feature	Gain	Cover	Frequency
ctarjeta_visa_debitos_automaticos	0.00338992890014907	0.00708022183996107	0.00633544514838279
mdescubierto_preacordado	0.00330189045039486	0.00656527430450153	0.0031677225741914
tcallcenter	0.00330084728182815	0.00342086471328004	0.0021673891297099
Master_msaldototal	0.00318310632984597	0.00464894452555448	0.00566855618539513
mtarjeta_visa_debitos_automaticos	0.00309956079509841	0.00431437285881554	0.00833611203734578
Master_msaldopesos	0.00308792402220303	0.00371483960289812	0.00566855618539513
Master_mpagominimo	0.00306406326003604	0.00588445755054119	0.00633544514838279
ccaja_ahorro	0.00298556508807345	0.0188247043499071	0.00550183394464822
mcuenta_debitos_automaticos	0.0029799983333799	0.00621861804561757	0.00700233411137046
ccajas_consultas	0.00270681509464167	0.0135173776242309	0.00333444481493831
ctarjeta_debito	0.00258609709324687	0.00310795022895516	0.00650216738912971
mpagomiscuentas	0.00249969585652844	0.0100096850200205	0.00683561187062354
ccuenta_debitos_automaticos	0.0024513258606654	0.00881927238677119	0.00450150050016672
mextraccion_autoservicio	0.00237845778273497	0.00387382812060821	0.00483494498166055
ctarjeta_master	0.00224177523430096	0.00170654228723874	0.00233411137045682
Master_mpagospesos	0.00210020153726987	0.0109454924503422	0.00600200066688896
ctarjeta_debito_trx	0.00208019055178802	0.00303098403336915	0.00600200066688896
mplazo_fijo_dolares	0.00200133602656893	0.0155817548999295	0.00333444481493831
Visa_mconsumosdolares	0.00192064459364656	0.00503958972777545	0.00616872290763588
Visa_Finiciomora	0.00156790955297274	0.00542661790427731	0.00200066688896299
matm	0.00154739186445678	0.00179879250446908	0.00300100033344448
Visa_fultimo_cierre	0.00145009472484274	0.0021034578573138	0.00383461153717906
Visa_status	0.00141759277145522	0.00628957728019582	0.00150050016672224
Master_mconsumospesos	0.00139223915481426	0.00344258614126638	0.00450150050016672
Visa_mpagosdolares	0.00135996521061368	0.00510212636782839	0.00450150050016672
Master_fultimo_cierre	0.0013431769528878	0.00204744856740405	0.00433477825941981
cmobile_app_trx	0.00134188614224732	0.00202692853161926	0.0031677225741914
cpagomiscuentas	0.00114788532012038	0.00376791287015488	0.00300100033344448
ccaja_seguridad	0.00113777522556337	0.00745104728313506	0.00200066688896299
Master_cconsumos	0.00110537546567307	0.00205799126581445	0.00233411137045682
cseguro_accidentes_personales	0.000901577033766753	0.00755611449203435	0.0021673891297099
Visa_delinquency	0.000886535376765856	0.00239100818970433	0.00100033344448149
cinversion1	0.000781159022605098	0.011090893029516	0.00183394464821607
cplazo_fijo	0.000714683078129266	0.00667327753605381	0.00133377792597532
tmobile_app	0.000643606945158648	0.00744605540216925	0.00133377792597532
mcheques_emitidos	0.000614666634283094	0.00408430303993987	0.000666888962987663
tpaquete9	0.000606800280731691	0.00586909643421013	0.00183394464821607
mtarjeta_master_consumo	0.000604464423777274	0.00266224657129411	0.00150050016672224
Master_mpagado	0.000571456184177027	0.00559458152843429	0.00150050016672224
ccajas_trx	0.000549587690823471	0.00209625592866172	0.000666888962987663
tpaquete7	0.00050498709311567	0.00670367211629734	0.00116705568522841
Visa_msaldodolares	0.00049722983191296	0.00208187776958647	0.00183394464821607
Master_mconsumototal	0.00048038237403314	0.00199823645904104	0.00283427809269757
cextraccion_autoservicio	0.000472245104250274	0.00107777729593599	0.00116705568522841
ccajas_extracciones	0.000369041456022061	0.00121672761965336	0.000666888962987663
catm_trx	0.000359845302780469	0.00192686605280022	0.00133377792597532
ctarjeta_master_trx	0.000358374708335551	0.000421251792853001	0.00133377792597532
mtarjeta_visa_descuentos	0.000343043007071935	0.00334038428489057	0.00200066688896299
catm_trx_other	0.000273168755693835	0.00181515585172764	0.00100033344448149
Master_mconsumosdolares	0.000175668128359359	0.000268713530599363	0.000333444481493831
internet	0.000172599015376693	0.00176082337125428	0.000500166722240747
ctarjeta_visa	0.000165914379170479	0.000301607263604401	0.000333444481493831
Master_mpagosdolares	0.000146061758995159	0.000279391144711545	0.000500166722240747
minversion1_pesos	0.000118669898236451	0.000873592018130101	0.000166722240746916
minversion2	9.63692308379781e-05	0.00204799465476839	0.000333444481493831
Master_madelantopesos	8.93878708142108e-05	0.000176386218682291	0.000166722240746916
Master_msaldodolares	8.65727355272889e-05	3.08057519060858e-05	0.000166722240746916
mttarjeta_master_debitos_automaticos	7.96806639455539e-05	0.000280894491102791	0.000666888962987663
ctarjeta_visa_descuentos	7.56300855294111e-05	0.000883999800838726	0.000500166722240747
matm_other	7.24869846996156e-05	0.000265687564145189	0.000333444481493831
active_quarter	6.42870143782101e-05	7.38117379872826e-05	0.000333444481493831
Visa_cadelantosefectivo	5.79114886211615e-05	0.000179444307922603	0.000166722240746916
cseguro_vida	5.44783444752516e-05	0.00027241407556243	0.000166722240746916
mcaja_ahorro_adicional	4.96466696007313e-05	0.000481475592304023	0.000166722240746916
Visa_madelantopesos	3.0547129870078e-05	6.61151184286818e-05	0.000166722240746916
cseguro_vivienda	2.16180067341355e-05	9.60921024524141e-05	0.000166722240746916
