minbucket	cp	max_depth	min_split	ganancia_promedio
5	0.1	12	800	0
5	0.1	12	600	0
5	0.1	12	400	0
5	0.1	12	200	0
5	0.1	12	100	0
5	0.1	12	50	0
5	0.1	12	20	0
5	0.1	12	10	0
5	0.1	16	2000	0
5	0.1	16	1000	0
5	0.1	16	800	0
5	0.1	16	600	0
5	0.1	16	400	0
5	0.1	16	200	0
5	0.1	16	100	0
5	0.1	16	50	0
5	0.1	16	20	0
5	0.1	16	10	0
5	0.1	20	2000	0
5	0.1	20	1000	0
5	0.1	20	800	0
5	0.1	20	600	0
5	0.1	20	400	0
5	0.1	20	200	0
5	0.1	20	100	0
5	0.1	20	50	0
5	0.1	20	20	0
5	0.1	20	10	0
5	0.1	50	2000	0
5	0.1	50	1000	0
5	0.1	50	800	0
5	0.1	50	600	0
5	0.1	50	400	0
5	0.1	50	200	0
5	0.1	50	100	0
5	0.1	50	50	0
5	0.1	50	20	0
5	0.1	50	10	0
5	0.1	750	2000	0
5	0.1	750	1000	0
5	0.1	750	800	0
5	0.1	750	600	0
5	0.1	750	400	0
5	0.1	750	200	0
5	0.1	750	100	0
5	0.1	750	50	0
5	0.1	750	20	0
5	0.1	750	10	0
5	0.1	1000	2000	0
5	0.1	1000	1000	0
5	0.1	1000	800	0
5	0.1	1000	600	0
5	0.1	1000	400	0
5	0.1	1000	200	0
5	0.1	1000	100	0
5	0.1	1000	50	0
5	0.1	1000	20	0
5	0.1	1000	10	0
5	0.2	4	2000	0
5	0.2	4	1000	0
5	0.2	4	800	0
5	0.2	4	600	0
5	0.2	4	400	0
5	0.2	4	200	0
5	0.2	4	100	0
5	0.2	4	50	0
5	0.2	4	20	0
5	0.2	4	10	0
5	0.2	6	2000	0
5	0.2	6	1000	0
5	0.2	6	800	0
5	0.2	6	600	0
5	0.2	6	400	0
5	0.2	6	200	0
5	0.2	6	100	0
5	0.2	6	50	0
5	0.2	6	20	0
5	0.2	6	10	0
5	0.2	8	2000	0
5	0.2	8	1000	0
5	0.2	8	800	0
5	0.2	8	600	0
5	0.2	8	400	0
5	0.2	8	200	0
5	0.2	8	100	0
5	0.2	8	50	0
5	0.2	8	20	0
5	0.2	8	10	0
5	0.2	10	2000	0
5	0.2	10	1000	0
5	0.2	10	800	0
5	0.2	10	600	0
5	0.2	10	400	0
5	0.2	10	200	0
5	0.2	10	100	0
5	0.2	10	50	0
5	0.2	10	20	0
5	0.2	10	10	0
5	0.2	12	2000	0
5	0.2	12	1000	0
5	0.2	12	800	0
5	0.2	12	600	0
5	0.2	12	400	0
5	0.2	12	200	0
5	0.2	12	100	0
5	0.2	12	50	0
5	0.2	12	20	0
5	0.2	12	10	0
5	0.2	16	2000	0
5	0.2	16	1000	0
5	0.2	16	800	0
5	0.2	16	600	0
5	0.2	16	400	0
5	0.2	16	200	0
5	0.2	16	100	0
5	0.2	16	50	0
5	0.2	16	20	0
5	0.2	16	10	0
5	0.2	20	2000	0
5	0.2	20	1000	0
5	0.2	20	800	0
5	0.2	20	600	0
5	0.2	20	400	0
5	0.2	20	200	0
5	0.2	20	100	0
5	0.2	20	50	0
5	0.2	20	20	0
5	0.2	20	10	0
5	0.2	50	2000	0
5	0.2	50	1000	0
5	0.2	50	800	0
5	0.2	50	600	0
5	0.2	50	400	0
5	0.2	50	200	0
5	0.2	50	100	0
5	0.2	50	50	0
5	0.2	50	20	0
5	0.2	50	10	0
5	0.2	750	2000	0
5	0.2	750	1000	0
5	0.2	750	800	0
5	0.2	750	600	0
5	0.2	750	400	0
5	0.2	750	200	0
5	0.2	750	100	0
5	0.2	750	50	0
5	0.2	750	20	0
5	0.2	750	10	0
5	0.2	1000	2000	0
5	0.2	1000	1000	0
5	0.2	1000	800	0
5	0.2	1000	600	0
5	0.2	1000	400	0
5	0.2	1000	200	0
5	0.2	1000	100	0
5	0.2	1000	50	0
5	0.2	1000	20	0
5	0.2	1000	10	0
8	-0.5	4	2000	9080000
8	-0.5	4	1000	9070000
8	-0.5	4	800	9070000
8	-0.5	4	600	9070000
8	-0.5	4	400	9070000
8	-0.5	4	200	9070000
8	-0.5	4	100	9070000
8	-0.5	4	50	9070000
8	-0.5	4	20	9070000
8	-0.5	4	10	9070000
8	-0.5	6	2000	10656667
8	-0.5	6	1000	10863333
8	-0.5	6	800	10863333
8	-0.5	6	600	10863333
8	-0.5	6	400	10863333
8	-0.5	6	200	11040000
8	-0.5	6	100	11040000
8	-0.5	6	50	11040000
8	-0.5	6	20	11060000
8	-0.5	6	10	11070000
8	-0.5	8	2000	10276667
8	-0.5	8	1000	10470000
8	-0.5	8	800	10470000
8	-0.5	8	600	10626667
8	-0.5	8	400	9120000
8	-0.5	8	200	9106667
8	-0.5	8	100	9066667
8	-0.5	8	50	8706667
8	-0.5	8	20	8890000
8	-0.5	8	10	8946667
8	-0.5	10	2000	10203333
8	-0.5	10	1000	10866667
8	-0.5	10	800	10733333
8	-0.5	10	600	9853333
8	-0.5	10	400	7610000
8	-0.5	10	200	8096667
8	-0.5	10	100	8163333
8	-0.5	10	50	7636667
8	-0.5	10	20	8033333
8	-0.5	10	10	7966667
8	-0.5	12	2000	10103333
8	-0.5	12	1000	10596667
8	-0.5	12	800	10463333
8	-0.5	12	600	9716667
8	-0.5	12	400	7410000
8	-0.5	12	200	7366667
8	-0.5	12	100	7273333
8	-0.5	12	50	6516667
8	-0.5	12	20	6933333
8	-0.5	12	10	6703333
8	-0.5	16	2000	9920000
8	-0.5	16	1000	10070000
8	-0.5	16	800	9936667
8	-0.5	16	600	9106667
8	-0.5	16	400	6743333
8	-0.5	16	200	5090000
8	-0.5	16	100	5243333
8	-0.5	16	50	3693333
8	-0.5	16	20	4143333
8	-0.5	16	10	3813333
8	-0.5	20	2000	9880000
8	-0.5	20	1000	9700000
8	-0.5	20	800	9566667
8	-0.5	20	600	8736667
8	-0.5	20	400	6373333
8	-0.5	20	200	4863333
8	-0.5	20	100	4883333
8	-0.5	20	50	3350000
8	-0.5	20	20	2816667
8	-0.5	20	10	2333333
8	-0.5	50	2000	NA
8	-0.5	50	1000	NA
8	-0.5	50	800	NA
8	-0.5	50	600	NA
8	-0.5	50	400	NA
8	-0.5	50	200	NA
8	-0.5	50	100	NA
8	-0.5	50	50	NA
8	-0.5	50	20	NA
8	-0.5	50	10	NA
8	-0.5	750	2000	NA
8	-0.5	750	1000	NA
8	-0.5	750	800	NA
8	-0.5	750	600	NA
8	-0.5	750	400	NA
8	-0.5	750	200	NA
8	-0.5	750	100	NA
8	-0.5	750	50	NA
8	-0.5	750	20	NA
8	-0.5	750	10	NA
8	-0.5	1000	2000	NA
8	-0.5	1000	1000	NA
8	-0.5	1000	800	NA
8	-0.5	1000	600	NA
8	-0.5	1000	400	NA
8	-0.5	1000	200	NA
8	-0.5	1000	100	NA
8	-0.5	1000	50	NA
8	-0.5	1000	20	NA
8	-0.5	1000	10	NA
8	-0.4	4	2000	9080000
8	-0.4	4	1000	9070000
8	-0.4	4	800	9070000
8	-0.4	4	600	9070000
8	-0.4	4	400	9070000
8	-0.4	4	200	9070000
8	-0.4	4	100	9070000
8	-0.4	4	50	9070000
8	-0.4	4	20	9070000
8	-0.4	4	10	9070000
8	-0.4	6	2000	10656667
8	-0.4	6	1000	10863333
8	-0.4	6	800	10863333
8	-0.4	6	600	10863333
8	-0.4	6	400	10863333
8	-0.4	6	200	11040000
8	-0.4	6	100	11040000
8	-0.4	6	50	11040000
8	-0.4	6	20	11060000
8	-0.4	6	10	11070000
8	-0.4	8	2000	10276667
8	-0.4	8	1000	10470000
8	-0.4	8	800	10470000
8	-0.4	8	600	10626667
8	-0.4	8	400	9120000
8	-0.4	8	200	9106667
8	-0.4	8	100	9066667
8	-0.4	8	50	8706667
8	-0.4	8	20	8890000
8	-0.4	8	10	8946667
8	-0.4	10	2000	10203333
8	-0.4	10	1000	10866667
8	-0.4	10	800	10733333
8	-0.4	10	600	9853333
8	-0.4	10	400	7610000
8	-0.4	10	200	8096667
8	-0.4	10	100	8163333
8	-0.4	10	50	7636667
8	-0.4	10	20	8033333
8	-0.4	10	10	7966667
8	-0.4	12	2000	10103333
8	-0.4	12	1000	10596667
8	-0.4	12	800	10463333
8	-0.4	12	600	9716667
8	-0.4	12	400	7410000
8	-0.4	12	200	7366667
8	-0.4	12	100	7273333
8	-0.4	12	50	6516667
8	-0.4	12	20	6933333
8	-0.4	12	10	6703333
8	-0.4	16	2000	9920000
8	-0.4	16	1000	10070000
8	-0.4	16	800	9936667
8	-0.4	16	600	9106667
8	-0.4	16	400	6743333
8	-0.4	16	200	5090000
8	-0.4	16	100	5243333
8	-0.4	16	50	3693333
8	-0.4	16	20	4143333
8	-0.4	16	10	3813333
8	-0.4	20	2000	9880000
8	-0.4	20	1000	9700000
8	-0.4	20	800	9566667
8	-0.4	20	600	8736667
8	-0.4	20	400	6373333
8	-0.4	20	200	4863333
8	-0.4	20	100	4883333
8	-0.4	20	50	3350000
8	-0.4	20	20	2816667
8	-0.4	20	10	2333333
8	-0.4	50	2000	NA
8	-0.4	50	1000	NA
8	-0.4	50	800	NA
8	-0.4	50	600	NA
8	-0.4	50	400	NA
8	-0.4	50	200	NA
8	-0.4	50	100	NA
8	-0.4	50	50	NA
8	-0.4	50	20	NA
8	-0.4	50	10	NA
8	-0.4	750	2000	NA
8	-0.4	750	1000	NA
8	-0.4	750	800	NA
8	-0.4	750	600	NA
8	-0.4	750	400	NA
8	-0.4	750	200	NA
8	-0.4	750	100	NA
8	-0.4	750	50	NA
8	-0.4	750	20	NA
8	-0.4	750	10	NA
8	-0.4	1000	2000	NA
8	-0.4	1000	1000	NA
8	-0.4	1000	800	NA
8	-0.4	1000	600	NA
8	-0.4	1000	400	NA
8	-0.4	1000	200	NA
8	-0.4	1000	100	NA
8	-0.4	1000	50	NA
8	-0.4	1000	20	NA
8	-0.4	1000	10	NA
8	-0.3	4	2000	9080000
8	-0.3	4	1000	9070000
8	-0.3	4	800	9070000
8	-0.3	4	600	9070000
8	-0.3	4	400	9070000
8	-0.3	4	200	9070000
8	-0.3	4	100	9070000
8	-0.3	4	50	9070000
8	-0.3	4	20	9070000
8	-0.3	4	10	9070000
8	-0.3	6	2000	10656667
8	-0.3	6	1000	10863333
8	-0.3	6	800	10863333
8	-0.3	6	600	10863333
8	-0.3	6	400	10863333
8	-0.3	6	200	11040000
8	-0.3	6	100	11040000
8	-0.3	6	50	11040000
8	-0.3	6	20	11060000
8	-0.3	6	10	11070000
8	-0.3	8	2000	10276667
8	-0.3	8	1000	10470000
8	-0.3	8	800	10470000
8	-0.3	8	600	10626667
8	-0.3	8	400	9120000
8	-0.3	8	200	9106667
8	-0.3	8	100	9066667
8	-0.3	8	50	8706667
8	-0.3	8	20	8890000
8	-0.3	8	10	8946667
8	-0.3	10	2000	10203333
8	-0.3	10	1000	10866667
8	-0.3	10	800	10733333
8	-0.3	10	600	9853333
8	-0.3	10	400	7610000
8	-0.3	10	200	8096667
8	-0.3	10	100	8163333
8	-0.3	10	50	7636667
